,,,Process,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,,
29,250526,4 Wire Jacket 2xDCC Modul 511 BB,180° & 90°B,,,,6.59,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.97,1.8
30,250527,7 Wire Jacket 2xDCC Modul 511 AB,180° & 90°B,,,,,,,6.82,,,,12,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.08,1.87
31,250528,2 Wire Jacket 1xDCC Modul 510 BB,180°,,,6.54,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.24,0.74
32,250529,5 Wire Jacket 1xDCC Modul 510 AB,180°,,,,,6.82,,,,,8.12,,,,10.88,,,9.04,,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.56,1.21
33,253631,5 Wire Jacket 1xDCC Modul T3-510 AA,180°,,,,,7.43,,,,,8.12,,,,10.88,,,,10.44,,,,,,,,,,,,10,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.57,1.24
34,253636,7 Wire Jacket 2xDCC Modul T3-511 AA,2*180°,,,,,,,7.5,,,,12,,,,,22.81,,20.88,,,,,,,,,,,,20,,,35.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.59,2.31
35,253634,4 Wire Jacket 2xDCC Modul T3-510 AA,180° & 90°,,,,6.38,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,,,,,20,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.07,1.83
36,253639,4 Wire Jacket 2xDCC Modul T3-511 AA,180° & 90°,,,,6.45,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,20,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.14,1.84
37,253641,4 Wire Jacket 2xDCC Modul T3-512 AA,60° & 90°,,,,5.91,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,20,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.41,1.84
38,253649,4 Wire Jacket 2xDCC Modul T3-513 AA,60° & 90°,,,,5.91,,,,,,8.12,,,,,,,18.08,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,20,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.41,1.84
39,253644,Twisted Wires 1xDCC Modul T3-512 AA,60°,6.61,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.06,0.97
40,253651,Twisted Wires 1xDCC Modul T3-513 AA,60°,6.61,,,,,,,,,,,,,,,,,,,,8.76,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.06,0.97
41,253643,Single Wires 1xDCC Modul T3-512 AA,180°,,3.3,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.11,0.72
42,249931,"4 Wire Jacket 1xDCC Modul 983004 _,A",60°,,,,6.54,,,,,,8.12,,,,,,,,10.44,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.61,1.06
43,249932,8 Wire Jacket 1xDCC Modul 983003,60°,,,,,,,,6.53,,,,16,,5.44,13.4,,,10.44,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.32,1.51
44,249933,4 Wire Jacket 1xDCC Modul 983002,60°,,,,6.68,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.35,1.04
45,249934,4 Wire Jacket 1xDCC Modul 983001,60°,,,,6.33,,,,,,8.12,,,,,,,9.04,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,1.03
46,249102,"Twisted Wires 1xDCC Modul 9J0, 9J1 HL",180°,6.9,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.71,0.91
47,249103,"Twisted Wires 1xDCC Modul 9J0, 9J1 HR",180°,6.74,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.55,0.91
48,249108,"Twisted Wires 1xDCC Modul 9J1286 _,C",60°,6.7,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.32,0.92
49,249109,"Twisted Wires 1xDCC Modul 9J1286 _,C",180°,6.59,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4,0.91
50,249110,"Twisted Wires 1xDCC Modul 9J1286 B,E",60°,6.53,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.15,0.92
51,249111,"Twisted Wires 1xDCC Modul 9J1286 B,E",180°,6.52,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.33,0.91
52,249112,6 Wire Jacket 3xDCC Modul 9J1289 D,60° & 2*90°B,,,,,,5.78,,,,,12,,,5.44,,,,31.32,,,,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,,,,18.72,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.21,2.75
53,249113,6 Wire Jacket 3xDCC Modul 9J1289 E,60° & 2*90°B,,,,,,5.78,,,,,12,,,5.44,,,,31.32,,,,,,,,,,,,30,,,,,,,,,16.29,,,,,16.29,,,,,,,,,18.72,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.21,2.75
54,249114,4 Wire Jacket 2xDCC Modul 9J1206 _,60° & 180°,,,,6.23,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.04,1.83
55,249115,Twisted Wires 1xDCC Modul 9J1206 A,60°,6.69,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.31,0.92
56,249116,Twisted Wires 1xDCC Modul 9J1206 A,60°,6.71,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.33,0.92
57,249117,4 Wire Jacket 2xDCC Modul 9J1206 C,60° & 180°,,,,6.23,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.04,1.83
58,249118,Twisted Wires 1xDCC Modul 9J1206 D,60°,6.52,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.14,0.92
59,249119,Twisted Wires 1xDCC Modul 9J1206 D,60°,6.54,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,,,,,,,,,,,,,,,,18.72,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.16,0.92
60,249120,6 Wire Jacket 1xDCC Modul 9J1279 C,90°B,,,,,,6.45,,,,,12,,,9.93,13.4,,9.04,,,,,,,,,,,,,10,,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9,1.45
61,243912,6 Wire Jacket 1xDCC Modul 976279 A,180°,,,,,,6.26,,,,,12,,,9.93,,,9.04,,,,,,,,,,,,,10,,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.93,1.25
62,243913,10 Wire Jacket 1xDCC Modul 976286 _,180°,,,,,,,,,6.31,,,,20,26.46,,22.81,,10.44,,,,,,,,,,,,10,,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.72,2.06
63,243914,10 Wire Jacket 1xDCC Modul 976286 A,180°,,,,,,,,,6.22,,,,20,26.46,,22.81,,10.44,,,,,,,,,,,,10,,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,9.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.63,2.06
64,243915,4 Wire Jacket 2xDCC Modul 976289 B,180° & 90°B,,,,6.39,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.77,1.8
65,243916,6 Wire Jacket 3xDCC Modul 976289 H,"60°,180°,90°B",,,,,,6.21,,,,,12,,,5.44,,,18.08,10.44,,,,,,,,,,,,30,,,17.91,,,,,,16.29,,,,,,,,,,,,,,,18.72,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.46,2.74
66,243917,6 Wire Jacket 3xDCC Modul 976289 J,"60°,180°,90°B",,,,,,6.21,,,,,12,,,5.44,,,18.08,10.44,,,,,,,,,,,,30,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,18.72,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.55,2.44
67,248507,4 Wire Jacket 2xDCC Modul 976289 N,60° & 90°B,,,,5.79,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,18.72,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02,1.88
68,248508,4 Wire Jacket 2xDCC Modul 976289 P,60° & 90°B,,,,5.79,,,,,,8.12,,,,,,,,10.44,14.08,,,,,,,,,,,20,,,,,,,,,,,,,,16.29,,,,,,,,,,,,18.72,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.02,1.88
69,248509,4 Wire Jacket 2xDCC Modul 976289 Q,180° & 90°B,,,,5.73,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.11,1.79
70,243700,6 Wire Jacket 2xDCC Modul 4P0251,90° & 90°B,,,,,,7.22,,,,,12,,,5.44,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,,,,,16.29,,,20,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.01,2
71,243701,6 Wire Jacket 2xDCC Modul 4P0252,90° & 90°B,,,,,,7.47,,,,,12,,,5.44,,,9.04,10.44,,,,,,,,,,,,20,,,,,,,,,,,,16.29,,,,,,,,20,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.26,2
72,243702,6 Wire Jacket 3xDCC Modul 4P0263,"180°,90°,90°B",,,,,,7.64,,,,,12,,,5.44,,,9.04,20.88,,,,,,,,,,,,30,,,17.91,,,,,,,,,,,16.29,20,,,,,,,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.57,2.81
73,243703,6 Wire Jacket 3xDCC Modul 4P0264,"180°,90°,90°B",,,,,,7.89,,,,,12,,,5.44,,,9.04,20.88,,,,,,,,,,,,30,,,17.91,,,,,,,,,,,16.29,,,,,20,,,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.82,2.81
74,243704,4 Wire Jacket 2xDCC Modul 8B3263,180° & 90°B,,,,7.84,,,,,,8.12,,,,,,,9.04,10.44,,,,,,,,,,,,20,,,17.91,,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,19.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.22,1.82
75,243705,Twisted Wires 1xDCC Modul 4P0253_,90°B,6.87,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.13,0.97
76,243706,Twisted Wires 1xDCC Modul 4P0253A,90°B,6.87,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.06,0.88
77,243707,Twisted Wires 1xDCC Modul 4P0254,90°B,6.87,,,,,,,,,,,,,,,,,,,5.93,,,,,,,,,,,8.09,,,,,,,,,,16.29,,,,,,,,,,,,,,,,,,,,,7.88,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.06,0.88
78,243708,6 Wire Jacket 3xDCC Modul 4P0246,"180°,90°,90°B",,,,,,8.25,,,,,12,,,5.44,,22.81,,31.32,,,,,,,,,,,,30,,,,,,,17.91,,,,,,,16.29,,,,,,,20,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.39,3.22
79,243709,6 Wire Jacket 3xDCC Modul 4P0267,"180°,90°,90°B",,,,,,7.82,,,,,12,,,5.44,,22.81,,31.32,,,,,,,,,,,,30,,,,,,,17.91,,,,,,,16.29,,,20,,,,,,,,,,,,,,29.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.96,3.22
